Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
HV101396,01/02/2012 02:22:00 AM,030XX W LAWRENCE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1713,33,01A,1155053,1931730,2012,41.968479866,-87.705259739,"(41.968479866, -87.705259739)"
HV101433,01/02/2012 05:15:00 AM,107XX S COTTAGE GROVE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0513,9,01A,1182247,1833951,2012,41.699577165,-87.608304224,"(41.699577165, -87.608304224)"
HV102145,01/02/2012 05:53:00 PM,066XX S WOLCOTT AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,false,false,0726,15,01A,1164829,1860636,2012,41.773189519,-87.671329907,"(41.773189519, -87.671329907)"
HV102221,01/02/2012 05:58:00 PM,024XX E 78TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0421,7,01A,1194033,1853729,2012,41.75356945,-87.56450286,"(41.75356945, -87.56450286)"
HV102986,01/03/2012 12:07:00 PM,010XX N PULASKI RD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1111,37,01A,1149528,1906741,2012,41.900017263,-87.726225708,"(41.900017263, -87.726225708)"
HV103489,01/04/2012 09:20:00 AM,024XX W 71ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0832,15,01A,1161166,1857504,2012,41.764671452,-87.684844209,"(41.764671452, -87.684844209)"
HV104908,01/04/2012 08:11:00 PM,057XX S LAFLIN ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0713,16,01A,1167316,1866729,2012,41.789856574,-87.662038784,"(41.789856574, -87.662038784)"
HV105192,01/05/2012 02:35:00 AM,046XX W MONROE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1113,28,01A,1145493,1899161,2012,41.879294275,-87.741238618,"(41.879294275, -87.741238618)"
HV103598,01/05/2012 08:00:00 AM,017XX W ALBION AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,2432,40,01A,1163697,1943895,2012,42.001682746,-87.67313138,"(42.001682746, -87.67313138)"
HV107009,01/06/2012 02:32:00 PM,044XX W MONROE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1113,28,01A,1146754,1899292,2012,41.879629789,-87.736605042,"(41.879629789, -87.736605042)"
HV108112,01/07/2012 06:42:00 AM,009XX N WALLER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,1511,29,01A,1138187,1905673,2012,41.897299216,-87.767907874,"(41.897299216, -87.767907874)"
HV108064,01/07/2012 03:57:00 PM,040XX W MELROSE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1731,31,01A,1148956,1921306,2012,41.93999607,-87.727949036,"(41.93999607, -87.727949036)"
HV108827,01/07/2012 05:54:00 PM,056XX S JUSTINE ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0713,16,01A,1166970,1867349,2012,41.791565336,-87.663289748,"(41.791565336, -87.663289748)"
HV109294,01/08/2012 05:50:00 AM,000XX W 69TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0731,6,01A,1177279,1859276,2012,41.769185486,-87.625732415,"(41.769185486, -87.625732415)"
HV109353,01/08/2012 06:09:00 AM,023XX S WHIPPLE ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1033,12,01A,1156390,1888398,2012,41.849546197,-87.701517256,"(41.849546197, -87.701517256)"
HV109263,01/09/2012 12:18:00 AM,022XX N LAWLER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,2522,31,01A,1142355,1914507,2012,41.92146429,-87.752379397,"(41.92146429, -87.752379397)"
HV110526,01/09/2012 08:28:00 AM,057XX S SANGAMON ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0712,16,01A,1170958,1866699,2012,41.78969544,-87.648685524,"(41.78969544, -87.648685524)"
HT612076,01/09/2012 12:43:00 PM,057XX S WINCHESTER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0715,15,01A,1164338,1866575,2012,41.789497268,-87.672962604,"(41.789497268, -87.672962604)"
HV111716,01/10/2012 12:29:00 AM,058XX N KENMORE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,2022,48,01A,1168188,1938974,2012,41.988083216,-87.656752717,"(41.988083216, -87.656752717)"
HV112746,01/10/2012 05:46:00 PM,049XX W POLK ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1533,24,01A,1143695,1895845,2012,41.870228606,-87.7479237,"(41.870228606, -87.7479237)"
HV113178,01/11/2012 12:45:00 AM,084XX S PEORIA ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0613,21,01A,1171784,1848819,2012,41.74061243,-87.646180582,"(41.74061243, -87.646180582)"
HV114596,01/11/2012 11:00:00 PM,006XX W PATTERSON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,1925,46,01A,1171045,1924647,2012,41.948707142,-87.646666855,"(41.948707142, -87.646666855)"
HV117097,01/13/2012 11:37:00 PM,058XX S FAIRFIELD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0824,16,01A,1159039,1865860,2012,41.787645257,-87.692412039,"(41.787645257, -87.692412039)"
HV117352,01/14/2012 04:50:00 AM,042XX W 63RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,0813,13,01A,1148996,1862483,2012,41.77857777,-87.729322944,"(41.77857777, -87.729322944)"
HV117302,01/14/2012 12:57:00 PM,014XX E 76TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0411,5,01A,1186966,1854883,2012,41.756906514,-87.590363943,"(41.756906514, -87.590363943)"
HV120395,01/16/2012 08:48:00 PM,063XX S CAMPBELL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0825,15,01A,1160796,1862490,2012,41.778361393,-87.68606283,"(41.778361393, -87.68606283)"
HV121575,01/17/2012 04:30:00 PM,015XX W 94TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2221,21,01A,1167735,1842389,2012,41.723055324,-87.661199704,"(41.723055324, -87.661199704)"
HV130003,01/20/2012 08:00:00 AM,020XX S MAY ST,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,1235,25,01A,1169113,1890446,2012,41.854899722,-87.654762896,"(41.854899722, -87.654762896)"
HV123567,01/20/2012 07:46:00 PM,072XX S WESTERN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,GAS STATION DRIVE/PROP.,false,false,0832,18,01A,1161626,1856687,2012,41.762419957,-87.683180808,"(41.762419957, -87.683180808)"
HV125887,01/20/2012 11:23:00 PM,018XX W JUNEWAY TER,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2422,49,01A,1162821,1951492,2012,42.022547568,-87.676139494,"(42.022547568, -87.676139494)"
HV125847,01/21/2012 01:25:00 AM,003XX W CHICAGO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1831,42,01A,1174001,1905669,2012,41.896565217,-87.636368223,"(41.896565217, -87.636368223)"
HV126713,01/21/2012 07:01:00 PM,024XX W ARMITAGE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,1434,1,01A,1159966,1913212,2012,41.917565094,-87.687707689,"(41.917565094, -87.687707689)"
HV127105,01/22/2012 02:35:00 AM,006XX E 90TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0633,6,01A,1181986,1845440,2012,41.731110444,-87.608905934,"(41.731110444, -87.608905934)"
HV128067,01/23/2012 12:30:00 AM,076XX N SHERIDAN RD,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,2422,49,01A,1165468,1950779,2012,42.0205349,-87.666418834,"(42.0205349, -87.666418834)"
HV128067,01/23/2012 12:30:00 AM,076XX N SHERIDAN RD,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,2422,49,01A,1165468,1950779,2012,42.0205349,-87.666418834,"(42.0205349, -87.666418834)"
HV128261,01/23/2012 08:56:00 AM,074XX S MERRILL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0333,5,01A,1191841,1856055,2012,41.760005657,-87.572460212,"(41.760005657, -87.572460212)"
HV128507,01/23/2012 12:00:00 PM,064XX S HERMITAGE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,0725,15,01A,1165778,1861897,2012,41.77662977,-87.667815322,"(41.77662977, -87.667815322)"
